vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
3,1,63461 ,4561 ,1.847 ,40.076 ,0.772 ,10,
3,11,102652 ,7377 ,7.931 ,89.111 ,3.757 ,10,
3,12,128428 ,9230 ,7.421 ,41.641 ,2.770 ,10,
3,13,184712 ,13275 ,15.840 ,138.015 ,7.054 ,10,
3,14,233984 ,16816 ,26.275 ,198.800 ,8.629 ,10,
3,15,282090 ,20273 ,38.541 ,293.250 ,11.517 ,10,
3,16,352309 ,25319 ,73.939 ,472.172 ,18.644 ,10,
3,21,137316 ,9868 ,12.645 ,91.610 ,3.437 ,10,
3,22,147410 ,10594 ,19.333 ,124.059 ,4.722 ,10,
3,23,181989 ,13079 ,22.291 ,159.688 ,6.233 ,10,
3,24,235710 ,16940 ,35.014 ,279.033 ,8.981 ,10,
3,25,302673 ,21752 ,50.900 ,246.352 ,9.005 ,10,
3,27,416654 ,29944 ,63.120 ,398.462 ,11.967 ,10,
3,28,556501 ,39994 ,93.450 ,771.530 ,30.143 ,10,
3,29,762936 ,54830 ,124.140 ,915.859 ,39.361 ,10,
3,30,898828 ,64596 ,145.888 ,3396.389 ,62.940 ,10,
3,33,198356 ,14255 ,29.766 ,178.565 ,3.293 ,10,
3,35,303558 ,21816 ,54.274 ,299.592 ,4.333 ,10,
3,37,401290 ,28839 ,76.714 ,350.392 ,6.247 ,10,
3,38,521388 ,37470 ,95.490 ,301.241 ,10.039 ,10,
